id,prefix,topic,answer,unit,reject_reason,detail,question
CH001,CH,ac_resonance,40,Ω,constant_answer_code,,"In a resonant RLC circuit, the measured impedance is Z=40 Ω. Determine the pure resistance R."
CH005,CH,ac_resonance,25,Ω,constant_answer_code,,"Determine the resistance R of an RLC circuit at resonance, if the measured impedance is 25 Ω?"
CH020,CH,ac_resonance,300,Ω,constant_answer_code,,"At resonance, the total impedance of the circuit is measured to be Z = 300 Ω. What is the value of the pure resistance R?"
CH023,CH,ac_resonance,91.89,Hz,constant_answer_code,,What is the resonance frequency of a series AC circuit consisting of an inductor L = 1.5 H and a capacitor C = 2 μF?
CH024,CH,ac_resonance,225.08,Hz,constant_answer_code,,An RLC circuit has a 5 μF capacitor and a 0.1 H inductor. Calculate the electrical resonance frequency?
CH028,CH,ac_resonance,63.66,Hz,constant_answer_code,,What is the resonant frequency of an RLC circuit with an inductor L = 0.25 H in series with a capacitor C = 25 μF?
CH039,CH,ac_resonance,100.66,Hz,constant_answer_code,,L = 0.01 H connected in series with C = 250 μF. What is the resonant frequency?
CH041,CH,ac_resonance,200,W,constant_answer_code,,"An RLC series circuit in resonance has an RMS voltage across the circuit of 100 V, and a pure resistance R=50 Ω. Calculate the power consumed?"
CH043,CH,ac_resonance,220,W,constant_answer_code,,An RLC series circuit is at resonance with an applied voltage of 220 V and a resistance R = 220 Ω. Determine the power consumption.
CH044,CH,ac_resonance,160,W,constant_answer_code,,Calculate the power consumed in a resonant circuit with R = 40 Ω and U = 80 V.
CH045,CH,ac_resonance,400,W,constant_answer_code,,A resonant RLC circuit has a resistance R = 25 Ω and an applied voltage U = 100 V. What is the power of the circuit?
CH053,CH,ac_resonance,72,W,constant_answer_code,,An RLC resonant circuit has an RMS voltage of 24 V and a resistance R = 8 Ω. What is the power consumed?
CH057,CH,ac_resonance,500,W,constant_answer_code,,An RLC series resonant circuit has a voltage U = 250 V and a resistance R = 125 Ω. What is the power consumed?
CH069,CH,ac_resonance,101.32,mH,constant_answer_code,,A circuit has a capacitor C = 25 μF. What inductance L is required for it to resonate at 100 Hz?
CH073,CH,ac_resonance,101.3,mH,constant_answer_code,,What inductance L is required for a 100 μF capacitor to resonate at 50 Hz?
CH077,CH,ac_resonance,6.76,μF,constant_answer_code,,"In an RLC circuit with L = 0.015 H, what value of C is needed to achieve resonance at f = 500 Hz?"""
CH093,CH,general_physics,0.101,H,constant_answer_code,,A circuit has a capacitance C = 1 μF and resonates at a frequency of 500 Hz. What is the inductance (L)?
CH096,CH,general_physics,0.88,μF,constant_answer_code,,An LC circuit has an inductance L = 0.02 H and resonates at a frequency f = 1200 Hz. What is the capacitance C?
CH101,CH,ac_resonance,34.64,Ω,constant_answer_code,,"An RLC circuit has R = 30Ω. It resonates at f = 100Hz with a current I = 2A. When f = 200Hz, the current is I = 1A. What is the inductive reactance (ZL) at 100Hz?"
CH102,CH,ac_resonance,23.09,Ω,constant_answer_code,,"R = 20Ω. The resonant current (I_resonance) is 4A at f = 60Hz. When the frequency doubles, the current I becomes 2A. What was the initial ZL?"
CH103,CH,ac_resonance,20,Ω,constant_answer_code,,"In a circuit with a resistance R = 40Ω, resonance occurs at 50Hz, and the current at resonance is I = 1A. If the frequency is doubled, the current becomes I = 0.8A. What is the inductive reactance (ZL) at the resonant frequency?"
CH104,CH,ac_resonance,28.87,Ω,constant_answer_code,,"Given R=25Ω. At a frequency f=120Hz, the circuit is in resonance, and the current I=5A. When the frequency is doubled, the current becomes I=2.5A. What is ZL (the inductive reactance at the initial frequency of 120Hz)?"
CH105,CH,ac_resonance,115.47,Ω,constant_answer_code,,"A circuit has a resistance R = 50Ω. At resonance (40Hz), the current I = 3A. When the frequency increases to 80Hz, the current becomes I = 1.5A. What is the inductive reactance (ZL) at 80Hz?"
CH106,CH,ac_resonance,11.55,Ω,constant_answer_code,,"Given R=10Ω. At resonance, f=200Hz. When f increases to 400Hz, the current (I) decreases to 1/2. What is ZL?"
CH107,CH,ac_resonance,53.33,Ω,constant_answer_code,,"For a circuit with R = 60Ω, resonance occurs at 75Hz. At 150Hz, the current is 0.6A. The current at resonance is 1A. Find ZL."
CH108,CH,ac_resonance,15,Ω,constant_answer_code,,"Given an RLC series circuit with a resistance R=30Ω. At its resonant frequency f=50Hz, the current flowing through the circuit is I=2A. If the frequency is then changed to f=100Hz, the current becomes I=1.6A. Calculate the inductive reactance (ZL)."
CH109,CH,ac_resonance,46.19,Ω,constant_answer_code,,"R = 40Ω, resonance frequency f = 60Hz. The current is halved when f = 120Hz. What is ZL?"
CH141,CH,ac_resonance,84.85,V,constant_answer_code,,"An AC series circuit consists of a pure resistor R, a capacitor C, and an inductor L with internal resistance r. An AC voltage of 120V – 50Hz is applied across the entire circuit. The RMS voltage across the R-C series combination and the RMS voltage across the C-Lr series combination are both 90 V. Furthermore, the circuit is currently in electrical resonance. What is the RMS voltage across the capacitor?"
CH142,CH,ac_resonance,66.3,V,constant_answer_code,,"A series RLC circuit consists of a resistor R, a capacitor C, and an inductor L. An RMS AC voltage U = 100 V is applied across the circuit. Given that the RMS voltage across the R-C section and the C-L section are both equal to 120 V. The circuit is in electrical resonance. Calculate the RMS voltage across the capacitor, UC."
CH143,CH,ac_resonance,203.96,V,constant_answer_code,,"Consider a series RLC AC circuit, powered by an RMS voltage of 220 V at a frequency of 50 Hz. It is known that the RMS voltage across the R-C combination and across the C-L combination are both 300 V, and the circuit is currently in resonance. What is the RMS voltage across the capacitor C?"
CH146,CH,ac_resonance,200,V,constant_answer_code,,"An AC voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, and C = 10⁻⁴/(2π) F. Calculate the effective (or RMS) voltage of the source."
CH148,CH,ac_resonance,100,Ω,constant_answer_code,,"A voltage u = 200√2 cos(100π t) V is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴ / (2π) F. Calculate the inductive reactance X_L of the inductor."
CH149,CH,ac_resonance,200,Ω,constant_answer_code,,"A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the capacitive reactance XC of the capacitor."
CH150,CH,ac_resonance,141.4,Ω,constant_answer_code,,"A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the total impedance Z of the circuit."
CH151,CH,ac_resonance,1.414,A,constant_answer_code,,"A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the RMS (or effective) current I in the circuit."
CH152,CH,ac_resonance,0.707,-,non_numeric_or_unitless,,"A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the power factor cosφ."
CH153,CH,ac_resonance,200,W,constant_answer_code,,"A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, and C = 10⁻⁴/(2π) F. Calculate the average power P consumed by the circuit."
CH154,CH,ac_resonance,141.4,V,constant_answer_code,,"A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the RMS voltage across the inductor, UL"
CH168,CH,ac_resonance,135,W,constant_answer_code,,"Apply an RMS voltage U = 90 V to a series RLC circuit with R = 60 Ω, which is currently operating at resonance. Calculate the maximum power consumed Pmax."
CH174,CH,ac_resonance,337.5,W,constant_answer_code,,"Apply an RMS voltage U = 225 V to a series RLC circuit with R = 150 Ω, which is currently in resonance. Calculate the maximum power dissipated (Pmax)."
CH176,CH,ac_resonance,1,-,non_numeric_or_unitless,,What is the power factor (cosφ) of a series RLC circuit at resonance?
CH177,CH,ac_resonance,1,-,non_numeric_or_unitless,,What is the power factor (cosφ) of a series RLC resonant circuit?
CH178,CH,ac_resonance,1,-,non_numeric_or_unitless,,"""Calculate the power factor (cosφ) of an RLC circuit when Z = R (at resonance)."
CH179,CH,ac_resonance,1,-,non_numeric_or_unitless,,"When resonance occurs (φ = 0), what is cosφ?"
CH180,CH,ac_resonance,1,-,non_numeric_or_unitless,,What value does cosφ reach in the case of resonance?
CH185,CH,ac_resonance,100,Ω,constant_answer_code,,"At resonance, what is the total impedance Z of a series RLC circuit with R = 100 Ω?"
