id,prefix,question,golden_code,answer,unit,topic,official_cot,is_augmented,question_source,cot_source,answer_source,unit_source,topic_source,prefix_source,golden_code_source
CH001,CH,"In a resonant RLC circuit, the measured impedance is Z=40 Ω. Determine the pure resistance R.","# Verified calculation target in the requested output unit.
# The reasoning steps are provided in the cot field.
answer_value = 40
unit = 'Ω'

final_result = answer_value
final_result
",40,Ω,ac_resonance,"Step 1: Identify the given condition and value from the problem: the circuit operates at resonance and the measured impedance is Z=40Ω.
Step 2: State the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Recall the general impedance formula for a series RLC circuit: Z=√(R²+(X_L−X_C)²).
Step 4: Apply the resonance condition to simplify the impedance expression: since X_L=X_C then X_L−X_C=0.
Step 5: Substitute this result into the impedance formula to simplify it: Z=√(R²+0²).
Step 6: Simplify the expression to obtain the relationship between impedance and resistance at resonance: Z=R.
Step 7: Substitute the measured impedance to determine the resistance: R=40Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
CH002,CH,"An RLC series circuit is in resonance. The inductor has L = 0.5 H, the capacitor has C = 20 μF, and the total impedance is Z = 80 Ω. Calculate the resistance R.","import math

# Given values
L = 0.5  # Inductance in Henrys
C = 20e-6  # Capacitance in Farads
Z = 80  # Total impedance in Ohms

# Calculate the resonant frequency
f_res = 1 / (2 * math.pi * math.sqrt(L * C))

# Since the circuit is at resonance, X_L = X_C and thus_Z = R
R = Z

final_result = R
print(f""The resistance R is {final_result} Ohms."")",80,Ω,ac_resonance,"Step 1: Identify the given condition and value from the problem: the circuit is in resonance and the measured impedance is Z=80 Ω.
Step 2: State the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Recall the general impedance formula for a series RLC circuit: Z=√(R²+(X_L−X_C)²).
Step 4: Apply the resonance condition to simplify the impedance expression: since X_L=X_C then X_L−X_C=0.
Step 5: Substitute this result into the impedance formula to simplify it: Z=√(R²+0²).
Step 6: Simplify the expression to obtain the relationship between impedance and resistance at resonance: Z=R.
Step 7: Substitute the given impedance to determine the resistance: R=80 Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
CH003,CH,"At resonance, an RLC circuit has a total impedance of 120 Ω. What is the value of the pure resistance R?","# Given value of impedance at resonance
Z_resonance = 120  # in Ohms

# Since_Z = R at resonance
R = Z_resonance

final_result = R
print(f""The value of R is {final_result} Ohm."")",120,Ω,ac_resonance,"Step 1: Identify the given condition and value from the problem: the circuit operates at resonance and the measured impedance is Z=120 Ω.
Step 2: State the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Recall the general impedance formula for a series RLC circuit: Z=√(R²+(X_L−X_C)²).
Step 4: Apply the resonance condition to simplify the impedance expression: since X_L=X_C then X_L−X_C=0.
Step 5: Substitute this result into the impedance formula to simplify it: Z=√(R²+0²).
Step 6: Simplify the expression to obtain the relationship between impedance and resistance at resonance: Z=R.
Step 7: Substitute the given impedance to determine the resistance: R=120 Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
CH004,CH,"In an RLC resonant circuit, the current is maximum. The total impedance Z at this point is 60 Ω. What is the pure resistance R?","# Given value of impedance at resonance
Z_resonance = 60  # in Ohms

# Since_Z = R at resonance
R = Z_resonance

final_result = R
print(f""The value of R is {final_result} Ohm."")",60,Ω,ac_resonance,"Step 1: Identify the given condition and value from the problem: the circuit is at resonance where current is maximum and the measured impedance is Z=60 Ω.
Step 2: State the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Recall the general impedance formula for a series RLC circuit: Z=√(R²+(X_L−X_C)²).
Step 4: Apply the resonance condition to simplify the impedance expression: since X_L=X_C then X_L−X_C=0.
Step 5: Substitute this result into the impedance formula to simplify it: Z=√(R²+0²).
Step 6: Simplify the expression to obtain the relationship between impedance and resistance at resonance: Z=R.
Step 7: Substitute the given impedance to determine the resistance: R=60 Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
CH005,CH,"Determine the resistance R of an RLC circuit at resonance, if the measured impedance is 25 Ω?","# Verified calculation target in the requested output unit.
# The reasoning steps are provided in the cot field.
answer_value = 25
unit = 'Ω'

final_result = answer_value
final_result
",25,Ω,ac_resonance,"Step 1: Identify the given information: the circuit is an RLC circuit operating at resonance and the measured impedance is Z=25 Ω.
Step 2: Recall the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: State the consequence of the resonance condition: the net reactance becomes X_L−X_C=0.
Step 4: Recall the formula for the total impedance of a series RLC circuit: Z=√(R²+(X_L−X_C)²).
Step 5: Simplify the impedance expression using the resonance condition: Z=√(R²+0²).
Step 6: Determine the relationship between impedance and resistance at resonance: Z=R.
Step 7: Substitute the given impedance value to determine the resistance: R=25 Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
CH006,CH,"A series RLC circuit is at resonance. If the measured impedance Z is 200 Ω, what is R?","# Given value of impedance at resonance
Z_resonance = 200  # in Ohms

# Since_Z = R at resonance
R = Z_resonance

final_result = R
print(f""The value of R is {final_result} Ohm."")",200,Ω,ac_resonance,"Step 1: Identify the given condition and value from the problem: the circuit is a series RLC circuit at resonance and the measured impedance is Z=200 Ω.
Step 2: Recall the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Determine the net reactance under the resonance condition: X_L−X_C=0.
Step 4: Recall the impedance formula for a series RLC circuit: Z=√(R²+(X_L−X_C)²).
Step 5: Simplify the impedance expression using the resonance condition: Z=√(R²+0²).
Step 6: Determine the relationship between impedance and resistance at resonance: Z=R.
Step 7: Substitute the given impedance value to determine the resistance: R=200 Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
CH007,CH,The total impedance measured at resonance is 75 Ω. What is the resistance R?,"# Given value of impedance at resonance
Z_resonance = 75  # in Ohms

# Since_Z = R at resonance
R = Z_resonance

final_result = R
print(f""The value of R is {final_result} Ohm."")",75,Ω,ac_resonance,"Step 1: Identify the given information from the problem: the circuit is at resonance and the measured impedance is Z=75 Ω.
Step 2: Recall the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Determine the consequence of the resonance condition: the inductive and capacitive reactances cancel so the net reactance becomes X_L−X_C=0.
Step 4: Recall the impedance expression for a series RLC circuit and apply the resonance condition: Z=√(R²+(X_L−X_C)²)=√(R²+0²)=R.
Step 5: Substitute the given impedance value to determine the resistance: R=75 Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
CH008,CH,"In an RLC circuit at resonance, the maximum current is measured, and the total impedance is 32 Ω. What is the pure resistance R?","# Given value of impedance at resonance
Z_resonance = 32  # in Ohms

# Since_Z = R at resonance
R = Z_resonance

final_result = R
print(f""The value of R is {final_result} Ohm."")",32,Ω,ac_resonance,"Step 1: Identify the given information from the problem: the circuit is at resonance where the current is maximum and the measured impedance is Z=32 Ω.
Step 2: Recall the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Determine the consequence of the resonance condition: the net reactance becomes X_L−X_C=0.
Step 4: Recall the impedance formula for a series RLC circuit and apply the resonance condition: Z=√(R²+(X_L−X_C)²)=√(R²+0²)=R.
Step 5: Substitute the given impedance value to determine the resistance: R=32 Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
CH009,CH,An RLC circuit has a total impedance of 95 Ω measured at resonance. Determine R?,"# Given value of impedance at resonance
Z_resonance = 95  # in Ohms

# Since_Z = R at resonance
R = Z_resonance

final_result = R
print(f""The value of R is {final_result} Ohm."")",95,Ω,ac_resonance,"Step 1: Identify the given information from the problem: the circuit is at resonance and the measured impedance is Z=95 Ω.
Step 2: Recall the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Determine the net reactance under the resonance condition: X_L−X_C=0.
Step 4: Recall the impedance formula for a series RLC circuit and apply the resonance condition: Z=√(R²+(X_L−X_C)²)=√(R²+0²)=R.
Step 5: Substitute the given impedance value to determine the resistance: R=95 Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
CH010,CH,The total impedance of a series RLC circuit at resonance is measured as 18 Ω. What is the value of R?,"# Given value of impedance at resonance
Z_resonance = 18  # in Ohms

# Since Z = R at resonance
R = Z_resonance

final_result = R
print(f""The value of R is {final_result} Ω."")",18,Ω,ac_resonance,"Step 1: Identify the given information from the problem: the circuit is a series RLC circuit at resonance and the measured impedance is Z=18 Ω.
Step 2: Recall the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Determine the consequence of the resonance condition: the net reactance becomes X_L−X_C=0.
Step 4: Recall the impedance formula for a series RLC circuit: Z=√(R²+(X_L−X_C)²).
Step 5: Simplify the impedance expression using the resonance condition: Z=√(R²+0²).
Step 6: Determine the relationship between impedance and resistance at resonance: Z=R.
Step 7: Substitute the given impedance value to determine the resistance: R=18 Ω.",false,official_original,official_original,verified_matches_official,verified_matches_official,derived_internal_taxonomy,derived_from_id,deterministic_solver_generated_internal
