id,prefix,topic,answer,unit,reject_reason,detail,question
CH152,CH,ac_resonance,0.707,-,non_numeric_or_unitless,,"A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the power factor cosφ."
CH176,CH,ac_resonance,1,-,non_numeric_or_unitless,,What is the power factor (cosφ) of a series RLC circuit at resonance?
CH177,CH,ac_resonance,1,-,non_numeric_or_unitless,,What is the power factor (cosφ) of a series RLC resonant circuit?
CH178,CH,ac_resonance,1,-,non_numeric_or_unitless,,"""Calculate the power factor (cosφ) of an RLC circuit when Z = R (at resonance)."
CH179,CH,ac_resonance,1,-,non_numeric_or_unitless,,"When resonance occurs (φ = 0), what is cosφ?"
CH180,CH,ac_resonance,1,-,non_numeric_or_unitless,,What value does cosφ reach in the case of resonance?
CH186,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit with fixed components. At an angular frequency ω0, the inductive reactance X_L = 18 Ω and the capacitive reactance X_C = 72 Ω. To what multiple of ω0 must the angular frequency be adjusted for the circuit to resonate?"
CH187,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"In a series RLC circuit, at ω0, the inductor has an inductive reactance of 25 Ω, and the capacitor has a capacitive reactance of 225 Ω. By what factor of ω0 should the angular frequency be changed to achieve resonance?"
CH188,CH,ac_resonance,1.581,-,non_numeric_or_unitless,,"For a series RLC circuit with fixed components, when the angular frequency of the current is ω0, X_L = 30 Ω and X_C = 75 Ω. By what factor must the angular frequency be multiplied (relative to ω0) for resonance to occur?"
CH189,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"A series RLC circuit has constant component values. At ω0, the inductive reactance of the inductor is 35 Ω, and the capacitive reactance of the capacitor is 140 Ω. By what factor must ω be changed relative to ω0 for the circuit to reach resonance?"
CH190,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At the initial angular frequency ω0, XL = 45 Ω and XC = 405 Ω. The new angular frequency is set to k×ω0. What is the value of k for the circuit to resonate?"
CH191,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider an RLC series circuit with fixed components. When the angular frequency is ω0, the inductive reactance XL = 50 Ω and the capacitive reactance XC = 200 Ω. By what factor must the angular frequency be adjusted (relative to ω0) for the circuit to resonate?"
CH192,CH,ac_resonance,1.5,-,non_numeric_or_unitless,,"In a series RLC circuit, at ω₀, the inductor has an inductive reactance of 60 Ω and the capacitor has a capacitive reactance of 135 Ω. To what multiple of ω₀ must the angular frequency be changed to achieve resonance?"
CH193,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"In a series RLC circuit with constant components, when the angular frequency is ω0, XL = 24 Ω and XC = 216 Ω. By what factor must the angular frequency be multiplied relative to ω0 for resonance to occur?"
CH194,CH,ac_resonance,1.414,-,non_numeric_or_unitless,,"A series RLC circuit has constant component values. At an angular frequency ω0, the inductive reactance (XL) is 55 Ω, and the capacitive reactance (XC) is 110 Ω. By what factor of ω0 should ω be changed to bring the circuit into resonance?"
CH195,CH,ac_resonance,0.5,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At the initial angular frequency ω0, X_L = 80 Ω and X_C = 20 Ω. A new angular frequency must be set to k×ω0. What is the value of k for the circuit to resonate?"
CH196,CH,ac_resonance,0.577,-,non_numeric_or_unitless,,"Consider a series RLC circuit with fixed components. When the angular frequency is ω0, the inductive reactance X_L = 90 Ω and the capacitive reactance X_C = 30 Ω. By what factor must the angular frequency be adjusted (relative to ω0) for the circuit to resonate?"
CH198,CH,ac_resonance,1.0,-,non_numeric_or_unitless,,"For a series RLC circuit with fixed components, when the angular frequency is ω0, XL = 40 Ω and XC = 40 Ω. By what factor must ω0 be multiplied to achieve resonance?"
CH199,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"A series RLC circuit has unchanging component values. At ω0, the inductive reactance of the inductor is 12 Ω, and the capacitive reactance of the capacitor is 108 Ω. By what factor must ω be changed relative to ω0 for the circuit to resonate?"
CH200,CH,ac_resonance,1.414,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At an initial angular frequency ω₀, the inductive reactance X_L is 16 Ω, and the capacitive reactance X_C is 32 Ω. What is the value of k for the circuit to be in resonance when the angular frequency is set to k×ω₀?"
CH201,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"Given an RLC series circuit with fixed components. When the angular frequency is ω0, the inductive reactance X_L = 22 Ω and the capacitive reactance X_C = 198 Ω. To what multiple of ω0 must the angular frequency be adjusted for the circuit to resonate?"
CH202,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"In a series RLC circuit, at ω0, the inductor has an inductive reactance of 28 Ω and the capacitor has a capacitive reactance of 112 Ω. What multiple of ω0 should the angular frequency be changed to in order to achieve resonance?"
CH204,CH,ac_resonance,1.414,-,non_numeric_or_unitless,,"An RLC series circuit has constant component values. At ω0, the inductive reactance of the inductor is 42 Ω, and the capacitive reactance of the capacitor is 84 Ω. By what factor must ω be changed relative to ω0 for the circuit to be in resonance?"
CH205,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider an RLC series circuit. At the initial angular frequency ω0, X_L = 48 Ω and X_C = 192 Ω. The new angular frequency must be set to k×ω0. What is the value of k for the circuit to resonate?"
CH206,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider an RLC series circuit with fixed components. When the angular frequency is ω0, the inductive reactance X_L = 63 Ω and the capacitive reactance X_C = 252 Ω. By what factor must the angular frequency be adjusted relative to ω0 for the circuit to resonate?"
CH207,CH,ac_resonance,2.646,-,non_numeric_or_unitless,,"In a series RLC circuit, at ω0, the inductor has an inductive reactance of 70 Ω and the capacitor has a capacitive reactance of 490 Ω. What multiple of ω0 must the angular frequency be to achieve resonance?"
CH208,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"For an RLC series circuit with constant components, at an angular frequency ω0, X_L = 75 Ω and X_C = 300 Ω. By what factor must the angular frequency be multiplied (relative to ω0) for resonance to occur?"
CH209,CH,ac_resonance,2.236,-,non_numeric_or_unitless,,"A series RLC circuit has constant component values. At angular frequency ω0, the inductive reactance of the inductor is 85 Ω, and the capacitive reactance of the capacitor is 425 Ω. By what factor must ω be changed from ω0 for the circuit to be in resonance?"
CH210,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At an initial angular frequency ω0, X_L = 95 Ω and X_C = 380 Ω. The new angular frequency must be set to k×ω0. What is the value of k for the circuit to resonate?"
CH211,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit with fixed components. At an angular frequency ω0, the inductive reactance X_L = 15 Ω and the capacitive reactance X_C = 60 Ω. To what multiple of ω0 must the angular frequency be adjusted for the circuit to resonate?"
CH212,CH,ac_resonance,0.707,-,non_numeric_or_unitless,,"In an RLC series circuit, at an angular frequency of ω0, the inductor has an inductive reactance of 66 Ω and the capacitor has a capacitive reactance of 33 Ω. To what multiple of ω0 must the angular frequency be changed to achieve resonance?"
CH214,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"An RLC series circuit has fixed component values. At ω0, the inductive reactance of the inductor is 32 Ω, and the capacitive reactance of the capacitor is 128 Ω. By what factor must ω be changed relative to ω0 for the circuit to be in resonance?"
CH215,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At the initial angular frequency ω₀, X_L = 20 Ω and X_C = 180 Ω. The new angular frequency is set to k×ω₀. What is the value of k for the circuit to resonate?"
CH246,CH,circuit_power,1,-,non_numeric_or_unitless,,The AB circuit satisfies LCω² = 1. The voltages uAM and uMB are 90° out of phase. Given R1 = 30 Ω and R2 = 40 Ω. Calculate the power factor of the entire circuit.
CH247,CH,circuit_power,1,-,non_numeric_or_unitless,,"For circuit AB, LCω² = 1, and uAM and uMB are 90° out of phase. Given R1 = 70 Ω and R2 = 40 Ω. Calculate the power factor of the entire circuit."
CH248,CH,circuit_power,1,-,non_numeric_or_unitless,,"Circuit AB satisfies the condition LCω² = 1, and the voltages uAM and uMB are 90 degrees out of phase. Given R1 = 25 Ω and R2 = 30 Ω, calculate the power factor of the entire circuit."
CH249,CH,circuit_power,1,-,non_numeric_or_unitless,,"The circuit AB satisfies the condition LCω² = 1, and the voltages u_AM and u_MB are 90° out of phase. Given R1 = 60 Ω and R2 = 15 Ω. Calculate the power factor of the entire circuit."
CH250,CH,circuit_power,1,-,non_numeric_or_unitless,,Circuit AB satisfies LCω² = 1. Voltages uAM and uMB are 90° out of phase. Given R1 = 80 Ω and R2 = 90 Ω. Calculate the power factor of the entire circuit.
CH373,CH,general_physics,1.77,-,non_numeric_or_unitless,,"L = 0.05 H, C = 40 µF, R = 20 Ω. What is the value of Q?"
CH374,CH,general_physics,2.11,-,non_numeric_or_unitless,,"For a circuit with L = 0.12 H, C = 30 µF, and R = 30 Ω, calculate the quality factor (Q)."
CHLT001,CHLT,ac_resonance,No,-,non_numeric_or_unitless,,"An RLC series circuit consists of R=50 Ω, L=0.5 H, and C=20 μF. When an AC voltage with a frequency of 40 Hz is supplied, does the circuit experience electrical resonance?"
CHLT002,CHLT,ac_resonance,Yes,-,non_numeric_or_unitless,,"Given a series AC circuit with R = 10 Ω, L = 0.4 H, and C = 50 μF, determine if resonance occurs at an operating frequency of 35.6 Hz."
CHLT003,CHLT,ac_resonance,Yes,-,non_numeric_or_unitless,,A pure inductor with an inductance of 0.2 H is connected in series with a resistor R=25 Ω and a capacitor C=10 μF. Determine if resonance occurs at a frequency of f=112 Hz?
