idx,id,ok,json_ok,schema_ok,forbidden_ok,raw_span_ok,formula_ok,topic_hint,topic,target,formula_id,question,raw
1,NAT_OHM_001,True,True,True,True,True,True,circuit_resistance,circuit_resistance,"{""symbol"": ""R"", ""role"": ""resistance"", ""unit"": ""ohm"", ""raw_span"": ""A workshop device draws 0.9 ampere from an 18 volt supply. What resistance should be assigned to the device?""}",resistance_from_current_voltage,A workshop device draws 0.9 ampere from an 18 volt supply. What resistance should be assigned to the device?,"{""question_kind"":""calculation"",""topic"":""circuit_resistance"",""target"":{""symbol"":""R"",""role"":""resistance"",""unit"":""ohm"",""raw_span"":""A workshop device draws 0.9 ampere from an 18 volt supply. What resistance should be assigned to the device?""},""givens"":[{""name"":""I"",""role"":""current"",""raw_span"":""0.9 ampere"",""value_text"":""0.9"",""unit_text"":""ampere"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""U2"",""role"":""voltage"",""raw_span"":""18 volt"",""value_text"":""18"",""unit_text"":""volt"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""A workshop device draws 0.9 ampere from an 18 volt supply. What resistance should be assigned to the device?""],""formula_candidates"":[{""formula_id"":""resistance_from_current_voltage"",""variable_map"":{},""reason"":""Converted from verified parser/planner data and selected for deterministic calculator support.""}],""confidence"":0.95}"
2,NAT_POWER_001,True,True,True,True,True,True,circuit_power,circuit_power,"{""symbol"": ""P"", ""role"": ""power"", ""unit"": ""W"", ""raw_span"": ""power""}",power_from_voltage_resistance,A heating resistor has resistance 40 ohm and is connected across 120 V. Find the power converted to heat.,"{""question_kind"":""calculation"",""topic"":""circuit_power"",""target"":{""symbol"":""P"",""role"":""power"",""unit"":""W"",""raw_span"":""power""},""givens"":[{""name"":""R"",""role"":""resistance"",""raw_span"":""40 ohm"",""value_text"":""40.0"",""unit_text"":""ohm"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""U2"",""role"":""voltage"",""raw_span"":""120 V"",""value_text"":""120.0"",""unit_text"":""V"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""A heating resistor has resistance 40 ohm and is connected across 120 V. Find the power converted to heat.""],""formula_candidates"":[{""formula_id"":""power_from_voltage_resistance"",""variable_map"":{},""reason"":""Converted from verified parser/planner data and selected for deterministic calculator support.""}],""confidence"":0.95}"
3,NAT_PARALLEL_I_001,True,True,True,True,True,True,circuit_resistance,circuit_resistance,"{""symbol"": ""I"", ""role"": ""current"", ""unit"": ""A"", ""raw_span"": ""current""}",total_current_parallel_resistors_from_voltage,Two branches of 30 ohm and 60 ohm are connected in parallel to a 24 V source. How much current does the source supply?,"{""question_kind"":""calculation"",""topic"":""circuit_resistance"",""target"":{""symbol"":""I"",""role"":""current"",""unit"":""A"",""raw_span"":""current""},""givens"":[{""name"":""R"",""role"":""resistance"",""raw_span"":""30 ohm"",""value_text"":""30"",""unit_text"":""ohm"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""R2"",""role"":""resistance"",""raw_span"":""60 ohm"",""value_text"":""60"",""unit_text"":""ohm"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""U3"",""role"":""voltage"",""raw_span"":""24 V"",""value_text"":""24"",""unit_text"":""V"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""parallel connection"",""Two branches of 30 ohm and 60 ohm are connected in parallel to a 24 V source. How much current does the source supply?""],""formula_candidates"":[{""formula_id"":""total_current_parallel_resistors_from_voltage"",""variable_map"":{},""reason"":""Converted from verified parser/planner data and selected for deterministic calculator support.""},{""formula_id"":""current_from_voltage_resistance"",""variable_map"":{},""reason"":""Converted from verified parser/planner data and selected for deterministic calculator support.""}],""confidence"":0.95}"
4,NAT_CAP_ENERGY_001,True,True,True,True,True,True,capacitor,capacitor,"{""symbol"": ""W"", ""role"": ""energy"", ""unit"": ""J"", ""raw_span"": ""energy""}",capacitor_energy_from_C_U,A 25 uF capacitor is charged until the potential difference is 120 V. How much electric energy is stored?,"{""question_kind"":""calculation"",""topic"":""capacitor"",""target"":{""symbol"":""W"",""role"":""energy"",""unit"":""J"",""raw_span"":""energy""},""givens"":[{""name"":""C"",""role"":""capacitance"",""raw_span"":""25 uF"",""value_text"":""25.0"",""unit_text"":""uF"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""U2"",""role"":""voltage"",""raw_span"":""120 V"",""value_text"":""120.0"",""unit_text"":""V"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""A 25 uF capacitor is charged until the potential difference is 120 V. How much electric energy is stored?""],""formula_candidates"":[{""formula_id"":""capacitor_energy_from_C_U"",""variable_map"":{},""reason"":""Converted from verified parser/planner data and selected for deterministic calculator support.""}],""confidence"":0.95}"
5,NAT_CAP_C_001,True,True,True,True,True,True,capacitor,capacitor,"{""symbol"": ""C"", ""role"": ""capacitance"", ""unit"": ""uF"", ""raw_span"": ""capacitance""}",capacitor_capacitance_from_energy_voltage,The stored energy in a capacitor is 3.6 mJ when the voltage is 120 V. Determine the capacitance in uF.,"{""question_kind"":""calculation"",""topic"":""capacitor"",""target"":{""symbol"":""C"",""role"":""capacitance"",""unit"":""uF"",""raw_span"":""capacitance""},""givens"":[{""name"":""W"",""role"":""energy"",""raw_span"":""3.6 mJ"",""value_text"":""3.6"",""unit_text"":""mJ"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""U2"",""role"":""voltage"",""raw_span"":""120 V"",""value_text"":""120.0"",""unit_text"":""V"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""The stored energy in a capacitor is 3.6 mJ when the voltage is 120 V. Determine the capacitance in uF.""],""formula_candidates"":[{""formula_id"":""capacitor_capacitance_from_energy_voltage"",""variable_map"":{},""reason"":""Converted from verified parser/planner data and selected for deterministic calculator support.""}],""confidence"":0.95}"
6,NAT_LC_FREQ_001,True,True,True,True,True,True,LC_oscillation,LC_oscillation,"{""symbol"": ""f"", ""role"": ""frequency"", ""unit"": ""Hz"", ""raw_span"": ""frequency""}",lc_frequency_from_L_C,An ideal LC tank uses a 0.3 H coil and a 30 uF capacitor. What is the oscillation frequency?,"{""question_kind"":""calculation"",""topic"":""LC_oscillation"",""target"":{""symbol"":""f"",""role"":""frequency"",""unit"":""Hz"",""raw_span"":""frequency""},""givens"":[{""name"":""L"",""role"":""inductance"",""raw_span"":""0.3 H"",""value_text"":""0.3"",""unit_text"":""H"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""C2"",""role"":""capacitance"",""raw_span"":""30 uF"",""value_text"":""30"",""unit_text"":""uF"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""An ideal LC tank uses a 0.3 H coil and a 30 uF capacitor. What is the oscillation frequency?""],""formula_candidates"":[{""formula_id"":""lc_frequency_from_L_C"",""variable_map"":{},""reason"":""Augmented from verified dataset row; the calculator re-verified this formula and all numeric values.""}],""confidence"":0.9}"
7,NAT_LC_IMAX_001,True,True,True,True,True,True,LC_oscillation,LC_oscillation,"{""symbol"": ""I0"", ""role"": ""current"", ""unit"": ""A"", ""raw_span"": ""current""}",lc_current_from_voltage_capacitance_inductance,"In an LC circuit, L is 50 mH, C is 20 uF, and the largest capacitor voltage is 12 V. Find the peak current.","{""question_kind"":""calculation"",""topic"":""LC_oscillation"",""target"":{""symbol"":""I0"",""role"":""current"",""unit"":""A"",""raw_span"":""current""},""givens"":[{""name"":""L"",""role"":""inductance"",""raw_span"":""50 mH"",""value_text"":""50.0"",""unit_text"":""mH"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""C2"",""role"":""capacitance"",""raw_span"":""20 uF"",""value_text"":""20.0"",""unit_text"":""uF"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""U3"",""role"":""voltage"",""raw_span"":""12 V"",""value_text"":""12.0"",""unit_text"":""V"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""In an LC circuit, L is 50 mH, C is 20 uF, and the largest capacitor voltage is 12 V. Find the peak current.""],""formula_candidates"":[{""formula_id"":""lc_current_from_voltage_capacitance_inductance"",""variable_map"":{},""reason"":""Converted from verified parser/planner data and selected for deterministic calculator support.""}],""confidence"":0.95}"
8,NAT_RESONANCE_C_001,True,True,True,True,True,True,ac_resonance,ac_resonance,"{""symbol"": ""C"", ""role"": ""capacitance"", ""unit"": ""uF"", ""raw_span"": ""capacitance""}",rlc_resonance_capacitance_from_L_f,A resonant RLC circuit has inductance 0.5 H and resonance frequency 71 Hz. What capacitance is required?,"{""question_kind"":""calculation"",""topic"":""ac_resonance"",""target"":{""symbol"":""C"",""role"":""capacitance"",""unit"":""uF"",""raw_span"":""capacitance""},""givens"":[{""name"":""L"",""role"":""inductance"",""raw_span"":""0.5 H"",""value_text"":""0.5"",""unit_text"":""H"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""f2"",""role"":""frequency"",""raw_span"":""71 Hz"",""value_text"":""71.0"",""unit_text"":""Hz"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""A resonant RLC circuit has inductance 0.5 H and resonance frequency 71 Hz. What capacitance is required?""],""formula_candidates"":[{""formula_id"":""rlc_resonance_capacitance_from_L_f"",""variable_map"":{},""reason"":""Augmented from verified dataset row; the calculator re-verified this formula and all numeric values.""}],""confidence"":0.9}"
9,NAT_INDUCTOR_E_001,True,True,True,True,True,True,induction,induction,"{""symbol"": ""W"", ""role"": ""energy"", ""unit"": ""mJ"", ""raw_span"": ""energy""}",inductor_energy_from_L_I,A coil of inductance 0.4 H carries a maximum current of 3 A. Calculate the magnetic energy stored in the coil.,"{""question_kind"":""calculation"",""topic"":""induction"",""target"":{""symbol"":""W"",""role"":""energy"",""unit"":""mJ"",""raw_span"":""energy""},""givens"":[{""name"":""L"",""role"":""inductance"",""raw_span"":""0.4 H"",""value_text"":""0.4"",""unit_text"":""H"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""I2"",""role"":""current"",""raw_span"":""3 A"",""value_text"":""3.0"",""unit_text"":""A"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""A coil of inductance 0.4 H carries a maximum current of 3 A. Calculate the magnetic energy stored in the coil.""],""formula_candidates"":[{""formula_id"":""inductor_energy_from_L_I"",""variable_map"":{},""reason"":""Converted from verified parser/planner data and selected for deterministic calculator support.""}],""confidence"":0.95}"
10,NAT_SOLENOID_B_001,True,True,True,True,True,True,induction,induction,"{""symbol"": ""B"", ""role"": ""magnetic_field"", ""unit"": ""T"", ""raw_span"": ""magnetic field""}",solenoid_field_from_turn_density_current,A long solenoid has 1400 turns per meter and carries 2 A. Find the magnetic field inside it.,"{""question_kind"":""calculation"",""topic"":""induction"",""target"":{""symbol"":""B"",""role"":""magnetic_field"",""unit"":""T"",""raw_span"":""magnetic field""},""givens"":[{""name"":""given_1"",""role"":""turn_density"",""raw_span"":""1400 turns/m"",""value_text"":""1400"",""unit_text"":""turns/m"",""sign"":""unknown"",""qualifiers"":[]},{""name"":""I2"",""role"":""current"",""raw_span"":""2 A"",""value_text"":""2"",""unit_text"":""A"",""sign"":""unknown"",""qualifiers"":[]}],""constraints"":[""A long solenoid has 1400 turns per meter and carries 2 A. Find the magnetic field inside it.""],""formula_candidates"":[{""formula_id"":""solenoid_field_from_turn_density_current"",""variable_map"":{},""reason"":""Augmented from verified dataset row; the calculator re-verified this formula and all numeric values.""}],""confidence"":0.9}"
