"id","prefix","question","answer","unit","topic","explanation"
"CH_AUG001","CH","A resistor has 24 V across it and carries a current of 3 A. Find its resistance.","8","Ω","circuit_resistance","Use Ohm's law R = U/I. The voltage is 24 V and the current is 3 A, so R = 24/3 = 8 Ω. This is the resistance of the component."
"CH_AUG002","CH","A circuit draws 2 A from a 30 V source. Calculate the equivalent resistance.","15","Ω","circuit_resistance","Equivalent resistance is the ratio of voltage to current. Apply R = U/I with U = 30 V and I = 2 A. The result is 15 Ω."
"CH_AUG003","CH","A 12 V battery drives 0.5 A through a resistor. Determine the resistance.","24","Ω","circuit_resistance","Use R = U/I. With U = 12 V and I = 0.5 A, R = 12/0.5 = 24 Ω. The smaller current indicates a larger resistance."
"CH_AUG004","CH","A current of 4 A flows through a resistor when 100 V is applied. Find R.","25","Ω","circuit_resistance","Ohm's law gives R = U/I. Substitute U = 100 V and I = 4 A. The resistance is 100/4 = 25 Ω. The unit is ohms."
"CH_AUG005","CH","A resistor carries 0.2 A under a voltage of 10 V. Calculate its resistance.","50","Ω","circuit_resistance","The resistance is found from R = U/I. With voltage 10 V and current 0.2 A, R = 10/0.2 = 50 Ω. The answer is in ohms."
"CH_AUG006","CH","A 60 Ω resistor is connected to a 120 V source. Calculate the current.","2","A","circuit_resistance","Use Ohm's law in the form I = U/R. With U = 120 V and R = 60 Ω, I = 120/60 = 2 A. This is the circuit current."
"CH_AUG007","CH","A 15 Ω resistor is connected across 45 V. Find the current through it.","3","A","circuit_resistance","Current through a resistor is I = U/R. Substituting U = 45 V and R = 15 Ω gives I = 3 A. The voltage and resistance are both direct values."
"CH_AUG008","CH","A 200 Ω resistor has 20 V across it. Calculate the current.","0.1","A","circuit_resistance","Use I = U/R. With U = 20 V and R = 200 Ω, I = 20/200 = 0.1 A. The relatively large resistance keeps the current small."
"CH_AUG009","CH","A 5 Ω resistor is connected to a 12 V source. Find the current.","2.4","A","circuit_resistance","Apply Ohm's law I = U/R. Dividing 12 V by 5 Ω gives I = 2.4 A. This is the current through the resistor in steady operation."
"CH_AUG010","CH","A circuit has resistance 40 Ω and current 0.5 A. Calculate the voltage across it.","20","V","circuit_resistance","Ohm's law gives U = IR. With I = 0.5 A and R = 40 Ω, U = 0.5×40 = 20 V. This is the voltage drop."
"CH_AUG011","CH","A 25 Ω resistor carries 4 A. Determine the voltage across the resistor.","100","V","circuit_resistance","Use U = IR. The current is 4 A and the resistance is 25 Ω, so U = 4×25 = 100 V. The result is measured in volts."
"CH_AUG012","CH","A current of 0.25 A flows through an 80 Ω resistor. Find the voltage.","20","V","circuit_resistance","Use the resistor relation U = IR. Substituting I = 0.25 A and R = 80 Ω gives U = 20 V. This is the potential difference across the resistor."
"CH_AUG013","CH","Two resistors 6 Ω and 9 Ω are connected in series. Find the equivalent resistance.","15","Ω","circuit_resistance","Series resistances add because the same current passes through both. Therefore Req = 6 Ω + 9 Ω = 15 Ω. No reciprocal formula is used for series resistors."
"CH_AUG014","CH","Three resistors 4 Ω, 8 Ω, and 12 Ω are connected in series. Calculate Req.","24","Ω","circuit_resistance","For series connection, equivalent resistance is the sum of all resistances. Thus Req = 4 + 8 + 12 = 24 Ω. The total voltage drop is shared among them."
"CH_AUG015","CH","Two resistors 10 Ω and 15 Ω are in series. Determine the equivalent resistance.","25","Ω","circuit_resistance","In series, resistors add directly. With R1 = 10 Ω and R2 = 15 Ω, Req = 25 Ω. The equivalent resistor would carry the same current under the same total voltage."
"CH_AUG016","CH","Two resistors 6 Ω and 3 Ω are connected in parallel. Find the equivalent resistance.","2","Ω","circuit_resistance","For two parallel resistors, Req = R1R2/(R1 + R2). Substituting 6 Ω and 3 Ω gives Req = 18/9 = 2 Ω. Parallel resistance is less than the smaller resistor."
"CH_AUG017","CH","A 4 Ω resistor and a 12 Ω resistor are connected in parallel. Calculate Req.","3","Ω","circuit_resistance","Use the two-resistor parallel formula Req = R1R2/(R1 + R2). With 4 Ω and 12 Ω, Req = 48/16 = 3 Ω. This is below 4 Ω."
"CH_AUG018","CH","Two 8 Ω resistors are connected in parallel. Determine equivalent resistance.","4","Ω","circuit_resistance","For two identical resistors in parallel, the equivalent is half of one resistor. Thus Req = 8/2 = 4 Ω. The current has two equal paths."
"CH_AUG019","CH","A 20 Ω and 30 Ω resistor are connected in parallel. Find equivalent resistance.","12","Ω","circuit_resistance","Use Req = R1R2/(R1 + R2). With R1 = 20 Ω and R2 = 30 Ω, Req = 600/50 = 12 Ω. This is the effective resistance of the parallel pair."
"CH_AUG020","CH","A 60 Ω resistor is in parallel with a 40 Ω resistor. Calculate Req.","24","Ω","circuit_resistance","For two parallel resistors, Req = R1R2/(R1 + R2). Substituting 60 Ω and 40 Ω gives 2400/100 = 24 Ω. The equivalent is lower than both."
"CH_AUG021","CH","A circuit has voltage 120 V and current 5 A. Calculate the power consumed.","600","W","circuit_power","Electrical power is P = UI. With U = 120 V and I = 5 A, P = 600 W. This is the rate at which electrical energy is consumed."
"CH_AUG022","CH","A device operates at 24 V and draws 2 A. Find its power.","48","W","circuit_power","Use P = UI for electrical power. Substituting U = 24 V and I = 2 A gives P = 48 W. The answer is in watts."
"CH_AUG023","CH","A resistor carries 3 A and has resistance 10 Ω. Calculate the power dissipated.","90","W","circuit_power","Power dissipated in a resistor can be found from P = I²R. With I = 3 A and R = 10 Ω, P = 9×10 = 90 W."
"CH_AUG024","CH","A 20 Ω resistor carries 2 A. Find the power converted to heat.","80","W","circuit_power","Use Joule heating power P = I²R. The current squared is 4, and R = 20 Ω. Therefore P = 4×20 = 80 W. This is the heat power dissipated."
"CH_AUG025","CH","A 50 Ω resistor is connected across 100 V. Calculate the power.","200","W","circuit_power","When voltage and resistance are known, use P = U²/R. With U = 100 V and R = 50 Ω, P = 10000/50 = 200 W."
"CH_AUG026","CH","A 25 Ω resistor has 50 V across it. Find the power dissipated.","100","W","circuit_power","Use P = U²/R. Substituting U = 50 V and R = 25 Ω gives P = 2500/25 = 100 W. This is the resistor's thermal power."
"CH_AUG027","CH","A circuit consumes 300 W from a 150 V supply. Calculate the current.","2","A","circuit_power","Use P = UI and solve for current: I = P/U. With P = 300 W and U = 150 V, I = 2 A. The units reduce to amperes."
"CH_AUG028","CH","A device uses 120 W at 24 V. Find the current drawn.","5","A","circuit_power","Power is P = UI, so current is I = P/U. Substituting 120 W and 24 V gives I = 5 A. This is the device current."
"CH_AUG029","CH","A resistor dissipates 72 W while carrying 3 A. Determine its resistance.","8","Ω","circuit_power","Use P = I²R and solve R = P/I². With P = 72 W and I = 3 A, R = 72/9 = 8 Ω. This is the resistor value."
"CH_AUG030","CH","A resistor dissipates 200 W at a current of 4 A. Find its resistance.","12.5","Ω","circuit_power","The power relation is P = I²R. Solving gives R = P/I². Substituting P = 200 W and I = 4 A gives R = 200/16 = 12.5 Ω."
"CH_AUG031","CH","An AC circuit has impedance 50 Ω and RMS voltage 100 V. Calculate RMS current.","2","A","general_physics","For an AC circuit, RMS current follows I = U/Z. With U = 100 V and impedance Z = 50 Ω, I = 2 A. This is the effective current."
"CH_AUG032","CH","An AC circuit has RMS voltage 220 V and impedance 110 Ω. Find RMS current.","2","A","general_physics","Use the AC form of Ohm's law, I = U/Z. Substituting U = 220 V and Z = 110 Ω gives I = 2 A. The current is an RMS value."
"CH_AUG033","CH","A series RLC circuit has resistance 30 Ω and impedance 50 Ω. Calculate the power factor.","0.6","-","ac_resonance","The power factor in a series RLC circuit is cosφ = R/Z. With R = 30 Ω and Z = 50 Ω, cosφ = 0.6. This dimensionless number measures the in-phase fraction."
"CH_AUG034","CH","A series RLC circuit has R = 40 Ω and total impedance Z = 80 Ω. Find cosφ.","0.5","-","ac_resonance","Use cosφ = R/Z for a series RLC circuit. Substituting R = 40 Ω and Z = 80 Ω gives cosφ = 0.5. The value has no unit."
"CH_AUG035","CH","An RLC series circuit has R = 12 Ω and Z = 20 Ω. Determine the power factor.","0.6","-","ac_resonance","Power factor is the ratio of resistance to total impedance. Thus cosφ = 12/20 = 0.6. The result indicates that only part of the impedance is resistive."
"CH_AUG036","CH","A circuit has R = 18 Ω and Z = 30 Ω. Calculate cosφ.","0.6","-","ac_resonance","For a series RLC circuit, cosφ = R/Z. With R = 18 Ω and Z = 30 Ω, the ratio is 0.6. This is the power factor."
"CH_AUG037","CH","At resonance, a series RLC circuit has R = 25 Ω and RMS voltage 100 V. Find the current.","4","A","ac_resonance","At resonance, the net reactance is zero, so impedance equals R. Use I = U/R. With U = 100 V and R = 25 Ω, the RMS current is 4 A."
"CH_AUG038","CH","A resonant series RLC circuit has R = 40 Ω and source voltage 120 V RMS. Calculate RMS current.","3","A","ac_resonance","In resonance, XL equals XC and the circuit impedance is purely resistive. Therefore I = U/R. Substituting 120 V and 40 Ω gives I = 3 A."
"CH_AUG039","CH","At resonance, an RLC circuit has U = 200 V and R = 50 Ω. Find current.","4","A","ac_resonance","The resonance condition makes Z = R. Apply I = U/R with U = 200 V and R = 50 Ω. The current is 4 A."
"CH_AUG040","CH","A series RLC circuit at resonance has R = 20 Ω and current 5 A. Find RMS voltage.","100","V","ac_resonance","At resonance, impedance equals resistance, so U = IR. With I = 5 A and R = 20 Ω, U = 100 V. The voltage is the RMS source voltage."
"CH_AUG041","CH","At resonance, a series RLC circuit has R = 60 Ω and current 2 A. Calculate source voltage.","120","V","ac_resonance","Since the circuit is resonant, its total impedance is R. Use U = IR. Substituting I = 2 A and R = 60 Ω gives U = 120 V."
"CH_AUG042","CH","A resonant RLC circuit has RMS voltage 150 V and resistance 30 Ω. Calculate consumed power.","750","W","ac_resonance","At resonance, the power factor is one and impedance equals R. Use P = U²/R. With U = 150 V and R = 30 Ω, P = 22500/30 = 750 W."
"CH_AUG043","CH","At resonance, an RLC circuit has U = 120 V and R = 40 Ω. Find power consumed.","360","W","ac_resonance","The circuit behaves like a pure resistor at resonance. Thus P = U²/R. With U = 120 V and R = 40 Ω, P = 14400/40 = 360 W."
"CH_AUG044","CH","A resonant series RLC circuit has U = 80 V and R = 20 Ω. Calculate power.","320","W","ac_resonance","Use P = U²/R because resonance makes the power factor equal to one. Substituting U = 80 V and R = 20 Ω gives P = 6400/20 = 320 W."
"CH_AUG045","CH","At resonance, a series RLC circuit has current 3 A and resistance 50 Ω. Find power consumed.","450","W","ac_resonance","At resonance, all average power is dissipated in the resistor. Use P = I²R. With I = 3 A and R = 50 Ω, P = 9×50 = 450 W."
"CH_AUG046","CH","A resonant RLC circuit carries 4 A through R = 25 Ω. Calculate real power.","400","W","ac_resonance","At resonance, voltage and current are in phase, so real power is resistor power. Use P = I²R. With I = 4 A and R = 25 Ω, P = 400 W."
"CH_AUG047","CH","An inductor has L = 0.2 H in a 50 Hz AC circuit. Find inductive reactance.","62.83","Ω","general_physics","Inductive reactance is XL = 2πfL. With f = 50 Hz and L = 0.2 H, XL = 2π×50×0.2 = 62.83 Ω. It is measured in ohms."
"CH_AUG048","CH","An inductor of 0.1 H is used at 60 Hz. Calculate XL.","37.70","Ω","general_physics","Use XL = 2πfL. Substituting f = 60 Hz and L = 0.1 H gives XL = 37.70 Ω. Inductive reactance increases with frequency and inductance."
