id,source_numeric_id,source_id,topic,formula_id,answer,unit,style_index,generation_reason,question,explanation
TEG_NL017_00006,NP_semantic_NL017,NL017,capacitor,capacitor_voltage_from_energy_capacitance,17.3205,V,5,reference_explanation_quality_rejected,A capacitor has a capacitance C = 12 uF and stores 1.8 mJ of energy. Calculate the voltage U (V) across it (round the result to two decimal places).,"Reading the question literally, the known values are capacitance = 12 uF; energy = 1.8 mJ. Those values are sufficient for voltage (U) because the governing relation is U = sqrt(2W/C). Carrying out the calculator step U = sqrt(2W/C) gives 17.3205 V."
TEG_CH091_00014,NP_AUG_00738_NP_semantic_CH091,CH091,ac_resonance,rlc_resonance_capacitance_from_L_f,46.908,uF,6,reference_explanation_quality_rejected,A series RLC circuit resonates at 30.0 Hz with inductance 0.6 H. Find the required capacitance.,"Because the question is asking for capacitance (C), the solver does not use unrelated quantities. It keeps inductance = 0.6 H; frequency = 30.0 Hz and applies C = 1/((2 x pi x f)^2 x L). The verified computation is C = 1/((2 x pi x f)^2 x L), so the reported result is 46.908 uF."
TEG_CH012_00015,NP_semantic_CH012,CH012,circuit_resistance,resistance_from_resonance_impedance,145,ohm,0,reference_explanation_quality_rejected,"When an RLC circuit is in resonance, the impedance Z is measured at 145 ohm. What is the pure resistance R?","The question asks for resistance (R), so the locked solver treats it as a circuit resistance relation. The extracted data are resistance = 145 ohm. Using At resonance, R = Z, the calculator evaluates At resonance, R = Z. After applying the requested output unit, the result is 145 ohm."
TEG_DDT485_00016,NP_AUG_00105_NP_semantic_DDT485,DDT485,LC_oscillation,lc_max_current_from_voltage_capacitance_inductance,0.316228,A,2,reference_explanation_quality_rejected,"Using energy conservation, determine the peak current for L = 0.1 H, C = 100.0 uF, U max = 10.0 V.","The problem context is preserved from the original question: Using energy conservation, determine the peak current for L = 0.1 H, C = 100.0 uF, U max = 10.0 V. The target is current (I0). With inductance = 0.1 H; capacitance = 100.0 uF; voltage = 10.0 V, the verified relation I0 = U0 x sqrt(C/L) is used. The calculator's substitution step is I0 = U0 x sqrt(C/L), leading to 0.316228 A."
TEG_CH163_00018,NP_semantic_CH163,CH163,circuit_resistance,current_from_voltage_resistance,1.5,A,5,reference_explanation_quality_rejected,An RMS voltage U = 180 V is applied to a series RLC circuit with R = 120 ohm that is operating at resonance. Calculate the maximum effective current Imax.,"Reading the question literally, the known values are voltage = 180 V; resistance = 120 ohm. Those values are sufficient for current (I0) because the governing relation is I = U/R. Carrying out the calculator step I = U/R gives 1.5 A."
TEG__00020,NP_SEED_NPV_0001,,electrostatics_force,coulomb_force_two_charges,6.94444,N,0,missing_reference_cot,Two equal charges of 2.5 microcoulombs are placed 9 centimeters apart. Calculate their repulsive force.,"The question asks for force (F), so the locked solver treats it as a Coulomb-force relation. The extracted data are charge = 2.5 microcoulombs; charge = 2.5 microcoulombs; distance = 9 centimeters apart. Using F = k x |q1 x q2|/r^2, the calculator evaluates F = k x |q1 x q2|/r^2. After applying the requested output unit, the result is 6.94444 N."
TEG_DDT487_00022,NP_semantic_DDT487,DDT487,LC_oscillation,lc_max_current_from_voltage_capacitance_inductance,0.252982,A,3,reference_explanation_quality_rejected,"An LC oscillator has L = 0.25 H, C = 40 uF, and maximum capacitor voltage U0 = 20 V. Calculate the maximum current.","First identify the requested quantity as current (I0). The usable values are inductance = 0.25 H; capacitance = 40 uF; voltage = 20 V. For this ideal LC oscillator relation, the governing expression is I0 = U0 x sqrt(C/L). Substituting the extracted values gives I0 = U0 x sqrt(C/L); therefore the final value is 0.252982 A."
TEG_THCB227_00023,NP_semantic_THCB227,THCB227,circuit_resistance,resistance_parallel,2,ohm,5,reference_explanation_quality_rejected,Two resistors R1 = 6 ohm and R2 = 3 ohm are connected in parallel. Calculate the equivalent resistance.,"Reading the question literally, the known values are resistance = 6 ohm; resistance = 3 ohm. Those values are sufficient for resistance (R) because the governing relation is 1/R_eq = sum(1/R_i). Carrying out the calculator step 1/R_eq = sum(1/R_i) gives 2 ohm."
TEG_TD078_00024,NP_semantic_TD078,TD078,capacitor,capacitor_charge_from_C_U,4.51219,nC,7,reference_explanation_quality_rejected,A flat capacitor with a capacitance of 39.72 pF is charged to a potential difference of 113.6 V. Calculate the electric charge stored by the capacitor.,"The calculation follows directly from the locked formula Q = C x U. After reading capacitance = 39.72 pF; voltage = 113.6 V from the question, the calculator performs Q = C x U. This matches the requested charge (Q), so the final answer is 4.51219 nC."
TEG_THCB091_00025,NP_AUG_00753_NP_semantic_THCB091,THCB091,measurement_error,relative_error_from_absolute,0.625,%,1,reference_explanation_quality_rejected,A lab reading is reported as 6.4 cm ± 0.04 cm. Determine the percentage relative uncertainty.,"The wording describes this situation: A lab reading is reported as 6.4 cm ± 0.04 cm. Determine the percentage relative uncertainty. The relevant quantities are given 1 = 6.4 cm, and the relation is relative error = Delta x/x x 100%. Evaluating that relation for the extracted values gives 0.625 %."
TEG_NPF_cap_C_QU_003_00029,NPF_cap_C_QU_003,NPF_cap_C_QU_003,capacitor,capacitor_capacitance_from_charge_voltage,12,uF,6,missing_reference_cot,A capacitor carries charge 84 uC when the voltage across it is 7 V. Determine its capacitance.,"Because the question is asking for capacitance (C), the solver does not use unrelated quantities. It keeps charge = 84 uC; voltage = 7 V and applies C = Q/U. The verified computation is C = Q/U, so the reported result is 12 uF."
TEG_CH031_00030,NP_semantic_CH031,CH031,LC_oscillation,lc_frequency_from_L_C,39.7887,Hz,0,reference_explanation_quality_rejected,A circuit consists of an inductor L = 2 H and a capacitor of 8 uF connected in series. Calculate the resonant frequency f.,"The question asks for frequency (f), so the locked solver treats it as a ideal LC oscillator relation. The extracted data are inductance = 2 H; capacitance = 8 uF. Using f = 1/(2 x pi x sqrt(LC)), the calculator evaluates f = 1/(2 x pi x sqrt(LC)). After applying the requested output unit, the result is 39.7887 Hz."
TEG_NL396_00032,NP_AUG_00465_NP_official_text_csv_NL396,NL396,induction,inductance_from_energy_current,0.16,H,5,duplicate_official_text_replaced_by_locked_trace,The magnetic energy in a coil is 1.28 J when the current is 4 A. Determine the inductance.,"Reading the question literally, the known values are energy = 1.28 J; current = 4 A. Those values are sufficient for inductance (inductance) because the governing relation is L = 2W/I^2. Carrying out the calculator step L = 2W/I^2 gives 0.16 H."
TEG_THCB229_00035,NP_semantic_THCB229,THCB229,circuit_resistance,resistance_parallel,6,ohm,7,reference_explanation_quality_rejected,Two resistors R1 = 10 ohm and R2 = 15 ohm are connected in parallel. Calculate the equivalent resistance.,"The calculation follows directly from the locked formula 1/R_eq = sum(1/R_i). After reading resistance = 10 ohm; resistance = 15 ohm from the question, the calculator performs 1/R_eq = sum(1/R_i). This matches the requested resistance (R), so the final answer is 6 ohm."
TEG_NL304_00036,NP_AUG_00351_NP_semantic_NL304,NL304,induction,inductor_energy_from_L_I,0.9,J,1,reference_explanation_quality_rejected,Find the energy in a coil with inductance 0.2 H and current 3.0 A.,"The wording describes this situation: Find the energy in a coil with inductance 0.2 H and current 3.0 A. The relevant quantities are inductance = 0.2 H; current = 3.0 A, and the relation is W = 0.5 x L x I^2. Evaluating that relation for the extracted values gives 0.9 J."
TEG_DDT203_00037,NP_semantic_DDT203,DDT203,induction,self_induction_emf_from_L_current_change,30,V,3,reference_explanation_quality_rejected,A solenoid has L = 0.1 H. The current increases from 0 to 3 A in 0.01 s. Calculate the induced electromotive force.,"First identify the requested quantity as voltage (U). The usable values are inductance = 0.1 H; current = 3 A; time = 0.01 s. For this magnetic induction relation, the governing expression is |e| = L x |Delta I|/Delta t. Substituting the extracted values gives |e| = L x |Delta I|/Delta t; therefore the final value is 30 V."
TEG_THCB134_00038,NP_AUG_00288_NP_semantic_THCB134,THCB134,measurement_error,relative_error_from_absolute,1.66667,%,5,reference_explanation_quality_rejected,Find the percentage error for measurement 2.4 A if the absolute uncertainty is 0.04 A.,"Reading the question literally, the known values are given 1 = 2.4 A. Those values are sufficient for relative error (relative_error) because the governing relation is relative error = Delta x/x x 100%. Carrying out the calculator step relative error = Delta x/x x 100% gives 1.66667 %."
TEG_NPF_power_sum_000_00039,NPF_power_sum_000,NPF_power_sum_000,circuit_power,power_total_sum,55,W,7,missing_reference_cot,Two devices dissipate 20 W and 35 W. What is their total power?,"The calculation follows directly from the locked formula P_total = sum(P_i). After reading power = 20 W; power = 35 W from the question, the calculator performs P_total = sum(P_i). This matches the requested power (P), so the final answer is 55 W."
TEG_NPF_rlc_I_000_00040,NPF_rlc_I_000,NPF_rlc_I_000,ac_resonance,rlc_series_current_from_U_R_XL_XC,2,A,1,missing_reference_cot,"In a series RLC circuit, U = 100 V, R = 30 ohm, XL = 40 ohm, and XC = 0 ohm. Find the current.","The wording describes this situation: In a series RLC circuit, U = 100 V, R = 30 ohm, XL = 40 ohm, and XC = 0 ohm. Find the current. The relevant quantities are voltage = 100 V; resistance = 30 ohm; inductive reactance = 40 ohm; capacitive reactance = 0 ohm, and the relation is I = U/Z. Evaluating that relation for the extracted values gives 2 A."
