id,question,cot,answer,unit,prefix
CH010,The total impedance of a series RLC circuit at resonance is measured as 18 Ω. What is the value of R?,"Step 1: Identify the given information from the problem: the circuit is a series RLC circuit at resonance and the measured impedance is Z=18 Ω.
Step 2: Recall the resonance condition in a series RLC circuit: X_L=X_C.
Step 3: Determine the consequence of the resonance condition: the net reactance becomes X_L−X_C=0.
Step 4: Recall the impedance formula for a series RLC circuit: Z=√(R²+(X_L−X_C)²).
Step 5: Simplify the impedance expression using the resonance condition: Z=√(R²+0²).
Step 6: Determine the relationship between impedance and resistance at resonance: Z=R.
Step 7: Substitute the given impedance value to determine the resistance: R=18 Ω.",18,Ω,CH
CH025,A pure inductor of 0.05 H is connected in series with a 200 μF capacitor. Determine the resonant frequency.,"Step 1: Identify the given inductance (L) from the question. L = 0.05 H.
Step 2: Identify the given capacitance (C) from the question. C = 200 μF.
Step 3: Convert the capacitance from microFarads (μF) to Farads (F). 200 μF = 200 × 10⁻⁶ F.
Step 4: Recall the formula for the resonant frequency (f) of a series LC circuit and substitute the values of L and C: f = 1 / (2π√(LC)) = 1 / (2π√(0.05 × 200 × 10⁻⁶)) = 50.33 Hz.",50.33,Hz,CH
CH040,A 0.4 H inductor is connected in series with a 20 μF capacitor. Determine the resonant frequency.,"Step 1: Identify the given inductance (L) and capacitance (C) values from the question.
Step 2: Convert the capacitance from 20 microfarads (μF) to 20 × 10⁻⁶ farads (F).
Step 3: Use the formula for the resonant frequency (f) of an LC circuit: f = 1 / (2π√(LC)).
Step 4: Substitute the given values into the formula f = 1 / (2π√(0.01 × 250 × 10⁻⁶)) = 56.27 Hz.",56.27,Hz,CH
CH055,"The RMS voltage is 180 V, and the resistance R = 90 Ω. What is the power of the circuit at resonance?","Step 1: Identify the given RMS voltage (U) is 180 V and resistance (R) is 90 Ω.
Step 2: Recall that in an RLC resonant circuit, the impedance (Z) of the circuit is equal to the resistance (R).
Step 3: For a resonant circuit, the power consumed (P) can be calculated using the formula P = U² / R.
Step 4: Substitute the given values into the formula: P = 180² / 60 = 360 W.",360,W,CH
CH070,"An RLC circuit needs to resonate at 150 Hz. If the capacitor C = 15 μF, what must L be?","Step 1: Identify the given resonant frequency (f) and capacitance (C).
Step 2: The resonant frequency for an RLC circuit is given by the formula f = 1 / (2π√(LC)).
Step 3: Rearrange the formula to solve for inductance (L): L = 1 / (4π²f²C).
Step 4: Convert the capacitance from microfarads to farads: C = 15 μF = 15 × 10⁻⁶ F and solve: L = 1 / (4π² × 150² × 15 × 10⁻⁶) = 75 mH",74.96,mH,CH
CH085,"A circuit needs to resonate at 1000 Hz. Given an inductor L=0.005 H, what capacitance C is needed?","Step 1: Identify the given values: resonance frequency (f) = 1000 Hz and inductance (L) = 0.005 H.
Step 2: Recall the formula for the resonance frequency (f) in an LC circuit: f = 1 / (2π√(LC)).
Step 3: Rearrange the formula to solve for capacitance (C): C = 1 / ((2πf)²L).
Step 4: Substitute the given values into the rearranged formula: C = 1 / ((2π × 1000)² × 0.005) = 5.07 μF.",5.07,μF,CH
CH100,An electrical circuit needs to resonate at f=50 Hz. The capacitor C=200 μF. What inductor L should be chosen?,"Step 1: Identify the given resonant frequency f = 50 Hz and capacitance C = 200 μF.
Step 2: Note the formula for the resonant frequency of an LC circuit: `f = 1 / (2π√(LC))`.
Step 3: Rearrange the formula to solve for inductance (L): `L = 1 / (4π²f²C)`.
Step 4: Convert the capacitance to Farads: `C = 200 μF = 200 × 10⁻⁶ F` and solve: L = 1 / (4π² × 50² × 200 × 10⁻⁶) = 0.05 H.",0.05,H,CH
CH145,"An RLC series circuit is connected to an AC power source with an RMS voltage U = 150 V. At resonance, the RMS voltages across the R-C combination and the C-L combination are equal, and both are 180 V. Calculate the RMS voltage across the capacitor C.","Step 1: Determine the voltage across the resistor R at resonance.
When the circuit is in electrical resonance, the voltage across the inductor (U_L) and the voltage across the capacitor (U_C) are equal in magnitude but opposite in phase (U_L = U_C). At this point, the effective supply voltage U equals the effective voltage across the resistor R: U_R = U = 150 V
Step 2: Set up the voltage equation for the R-C segment.
The effective voltage across the R-C segment is given by:
U_RC² = U_R² + U_C²
Substitute the given values U_RC = 180 V and U_R = 150 V:
180² = 150² + U_C²
Step 3: Calculate the effective voltage across the capacitor (U_C).
From the equation in Step 2: U_C = √9900 = 99.5 V",99.5,V,CH
CH160,"An effective voltage U = 120 V is applied to a series RLC circuit with R = 80 Ω, operating at resonance. Calculate the maximum effective current Imax.","Step 1: Identify the given effective voltage (U) and resistance (R).
Step 2: Recognize that the circuit is operating at resonance.
Step 3: At resonance, the impedance (Z) of a series RLC circuit is equal to its resistance (R).
Step 4: Therefore, Z = R = 80 Ω. Then, I = U / R = 1.5 A.",1.5,A,CH
CH175,"An RMS voltage U = 300 V is applied to a series RLC circuit with R = 200 Ω, which is operating at resonance. Calculate the maximum power consumed (Pmax).","Step 1: The given RMS voltage is U = 300 V.
Step 2: The given resistance is R = 200 Ω.
Step 3: For a series RLC circuit operating at resonance, the impedance (Z) is equal to the resistance (R).
Step 4: The maximum power consumed (Pmax) in a series RLC circuit at resonance is calculated using the formula Pmax = U² / R = 450 W.",450,W,CH
