id,question,cot,answer,unit,prefix
TD394,"A parallel plate capacitor has a capacitance C = 5 pF and a plate separation d = 1 mm. If the plate separation d is changed to 0.2 mm and the dielectric medium is replaced by one with a dielectric constant of ε_r = 3, what is the new capacitance?","Step 1: State the capacitance relationship: C ∝ εr / d.
Step 2: Calculate the ratio of the new capacitance to the old: (εr_new / d_new) / (εr_old / d_old).
Step 3: Substitute the changes (εr becomes 3, d becomes 0.2 times the original): Ratio = (3 / 0.2) / (1 / 1) = 15.
Step 4: Multiply the initial capacitance by this ratio: C_new = 5 pF × 15 = 75 pF.",75,pF,TD
NL376,"An ideal LC circuit has a total oscillation energy of 0.4 J. When the electric field energy is 0.16 J, what is the instantaneous voltage across the capacitor with a capacitance of 20 µF?","Step 1: Identify the given parameters: total energy W = 0.4 J, instantaneous electric field energy W_C = 0.16 J, and capacitance C = 20 µF. (Note: The total energy is extra information not needed to find the voltage).
Step 2: Convert the capacitance to standard SI units: C = 20 × 10⁻⁶ F.
Step 3: State the formula for the energy stored in the electric field of a capacitor: W_C = (1/2) × C × V², where V is the instantaneous voltage.
Step 4: Rearrange the formula to solve for the square of the voltage (V²): V² = (2 × W_C) / C.
Step 5: Substitute the given values into the rearranged formula: V² = (2 × 0.16) / (20 × 10⁻⁶).
Step 6: Calculate the numerator: 2 × 0.16 = 0.32.
Step 7: Perform the division: V² = 0.32 / (20 × 10⁻⁶) = 16000.
Step 8: Take the square root to find the instantaneous voltage: V = √16000 ≈ 126.491 V.
Step 9: Round to two decimal places: V = 126.49 V.",126.49,V,NL
TD001,An air-filled parallel-plate capacitor has a capacitance C = 500 pF and is charged to a potential difference U = 300 V. It is then disconnected from the source and immersed in a liquid dielectric with dielectric constant ε = 2. What is the potential difference between the plates of the capacitor?,"Step 1: Calculate the initial charge (Q) on the capacitor using its initial capacitance (C) and potential difference (U).
Step 2: Recognize that when the capacitor is disconnected from the source, the charge (Q) on its plates remains constant.
Step 3: Calculate the new capacitance (C') of the capacitor after the dielectric with dielectric constant (ε) is introduced.
Step 4: Calculate the new potential difference (U') between the plates using the constant charge (Q) and the new capacitance (C').
Step 5: The potential difference between the plates after being immersed in the dielectric is 150 V.",150,V,TD
DT091,A charge Q = 0.7 x 10^^-9 C is uniformly distributed along a semicircle with center O and radius R = 20 cm. Determine the electric field strength at O.,"Step 1: Identify the given values and the required constant.
Step 2: Convert the radius to SI units (meters).
Step 3: Calculate the linear charge density (λ) of the semicircle.
Step 4: Apply the formula for the electric field at the center of a uniformly charged semicircle.
Step 5: The magnitude of the resultant electric field at the center O is 100 V / m.",100,V/m,DT
NL085,A capacitor has an energy of 0.6 mJ and a capacitance of 30 μF. Calculate the voltage (unit: V) across its plates (round the result to two decimal places).,"Step 1: Identify the given values: Energy (E) = 0.6 mJ and Capacitance (C) = 30 μF.
Step 2: Convert the given values to SI units: E = 0.6 × 10⁻³ J and C = 30 × 10⁻⁶ F.
Step 3: Recall the formula for the energy stored in a capacitor: E = ½CU², where U is the voltage.
Step 4: Rearrange the formula to solve for U: U = √(2E/C) = 2√10 V ≈ 6.32 V.",6.32,V,NL
CH048,"In a resonant RLC circuit, the RMS voltage is U=200 V, and the resistance R=400 Ω. Determine the power.","Step 1: In a resonant RLC circuit, the impedance (Z) is equal to the resistance (R), so Z = 400 Ω.
Step 2: The formula for power (P) in an AC circuit at resonance is P = U² / R, where U is the RMS voltage.
Step 3: Substitute the given values, U = 200 V and R = 400 Ω, into the formula.
Step 4: Calculate the power: P = 200² / 400 = 100 W.",100,W,CH
THCB067,"In a parallel circuit with two lamps, the current through D₁ is 0.4 A, and the total current is 1.0 A. Calculate the current through D₂.","Step 1: Use Kirchhoff's Current Law for parallel circuits: Total Current (A1) = I1 + I2.
Step 2: Identify the given values: I_total (A1) = 1.0 A and I1 = 0.4 A.
Step 3: Solve for the current through D2 (measured by A2): I2 = I_total - I1.
Step 4: Calculation: I2 = 1.0 A - 0.4 A = 0.6 A.",I_D₂ = 0.6,A,THCB
DDT330,"In an RLC circuit, Z_L = 70 Ω and Z_C = 50 Ω. What is the circuit's characteristic?","Step 1: Identify the given values from the problem: the inductive reactance is Z_L = 70 Ω and the capacitive reactance is Z_C = 50 Ω.
Step 2: Recall the rule used to determine the characteristic of an RLC circuit: if Z_L > Z_C the circuit is inductive, if Z_L < Z_C the circuit is capacitive, and if Z_L = Z_C the circuit is at resonance.
Step 3: Compare the given reactances: Z_L = 70 Ω and Z_C = 50 Ω, therefore 70 Ω > 50 Ω and Z_L > Z_C.
Step 4: Determine the dominant reactance in the circuit: since the inductive reactance is greater than the capacitive reactance, the inductive effect dominates.
Step 5: State the final conclusion: the circuit exhibits an inductive characteristic.",the circuit exhibits an inductive characteristic,—,DDT
NL111,A capacitor with C = 100 μF is charged to 80 V. Calculate the electric field energy (mJ) stored in the capacitor.,"Step 1: The given capacitance is C = 100 μF and the voltage is U = 80 V.
Step 2: Convert the capacitance to Farads: C = 100 × 10⁻⁶ F. The formula for the electric field energy (E) stored in a capacitor is E = (1/2)CU².
Step 3: Substitute the values into the formula: E = (1/2) × (100 × 10⁻⁶ F) × (80 V)².
Step 4: Calculate the energy: E = (1/2) × (100 × 10⁻⁶) × 6400 = 0.32 J = 320.00 mJ.",320.00,mJ,NL
TD375,A capacitor has a capacitance of 4 μF. What voltage must be applied to it for it to store 1 mJ of energy?,"Step 1: Identify C = 4 μF and energy W = 1 mJ = 1000 μJ.
Step 2: Use the formula V = √(2W / C).
Step 3: Substitute the values: V = √(2 × 1000 × 10⁻⁶ / 4 × 10⁻⁶).
Step 4: Calculate: V = √500 ≈ 22.36 V.",22.36,V,TD
CH180,What value does cosφ reach in the case of resonance?,"Step 1: The question asks for the value of cosφ at resonance.
Step 2: In an AC circuit, resonance occurs when the inductive reactance (ZL) equals the capacitive reactance (ZC).
Step 3: The phase angle (φ) of an AC circuit is given by tanφ = (ZL - ZC) / R.
Step 4: At resonance, ZL - ZC = 0, so tanφ = 0. This means φ = 0° (the current and voltage are in phase). Therefore, cosφ = cos(0°) = 1.",1,-,CH
