id,prefix,question,answer,unit,topic,explanation
CH001,CH,"In a resonant RLC circuit, the measured impedance is Z=40 Ω. Determine the pure resistance R.",40,Ω,ac_resonance,"In a series RLC circuit, the impedance is Z = sqrt(R^2 + (XL - XC)^2). At resonance, the inductive and capacitive reactances are equal, so XL - XC = 0 and the impedance reduces to the pure resistance R. The measured resonant impedance is 40 Ω, therefore the resistance is R = 40 Ω. This reasoning is useful because it separates the resonance condition from any numerical component values: once resonance is known, the measured impedance directly fixes R."
CH002,CH,"An RLC series circuit is in resonance. The inductor has L = 0.5 H, the capacitor has C = 20 μF, and the total impedance is Z = 80 Ω. Calculate the resistance R.",80,Ω,ac_resonance,"The given inductor and capacitor show that this is an RLC circuit, but the circuit is already stated to be in resonance. In that state, XL equals XC, so the reactive part of the impedance cancels. The total impedance is therefore only the resistance. Since Z = 80 Ω at resonance, R = 80 Ω. The unit remains ohms throughout, since both impedance and resistance measure opposition to current in the same AC circuit."
CH003,CH,"At resonance, an RLC circuit has a total impedance of 120 Ω. What is the value of the pure resistance R?",120,Ω,ac_resonance,"At resonance, the series RLC circuit behaves as if it were a resistor alone because the inductor and capacitor cancel each other's reactance. The total impedance is then Z = R, not a combination of resistance and net reactance. The given impedance is 120 Ω, so the pure resistance is 120 Ω. No additional phase calculation is needed here, because the phase contribution from the capacitor and inductor has already canceled at resonance."
CH004,CH,"In an RLC resonant circuit, the current is maximum. The total impedance Z at this point is 60 Ω. What is the pure resistance R?",60,Ω,ac_resonance,"Maximum current in a series RLC circuit occurs at resonance, where the impedance is minimized. This happens because the capacitive and inductive reactances cancel, leaving only the resistance. Therefore the total impedance at that point equals R. Since Z = 60 Ω when the current is maximum, R = 60 Ω. This is why the answer can be read from the impedance measurement rather than computed from L, C, or frequency."
CH005,CH,"Determine the resistance R of an RLC circuit at resonance, if the measured impedance is 25 Ω?",25,Ω,ac_resonance,"For a series RLC circuit, resonance means XL = XC. Substituting this into Z = sqrt(R^2 + (XL - XC)^2) gives Z = sqrt(R^2) = R. The measured impedance is already the pure resistance under this condition. Therefore the resistance of the circuit is 25 Ω. The result is consistent with the physical picture that a resonant series circuit draws maximum current through a purely resistive impedance."
CH006,CH,"A series RLC circuit is at resonance. If the measured impedance Z is 200 Ω, what is R?",200,Ω,ac_resonance,"The phrase at resonance is decisive: the reactive contributions from L and C cancel in the impedance expression. A source connected to the circuit sees only the resistance. Thus the measured impedance and the resistance have the same value. With Z = 200 Ω, the resistance is R = 200 Ω. No separate values of L or C are needed after the resonant condition has been established."
CH007,CH,The total impedance measured at resonance is 75 Ω. What is the resistance R?,75,Ω,ac_resonance,"The measured impedance is taken at resonance, so the net reactance is zero. In a series RLC circuit this makes the total impedance equal to the resistance alone. Hence there is no further calculation involving L or C. The resistance is R = Z = 75 Ω. The answer keeps the same unit because a resonant impedance value is directly a resistance value here."
CH008,CH,"In an RLC circuit at resonance, the maximum current is measured, and the total impedance is 32 Ω. What is the pure resistance R?",32,Ω,ac_resonance,"At resonance, the current reaches its maximum because the circuit impedance is as small as possible. The inductor and capacitor no longer contribute a net reactance, so the impedance is purely resistive. Therefore the total impedance 32 Ω is exactly the pure resistance R. Maximum current is another clue that the circuit is being observed at the minimum-impedance point."
CH009,CH,An RLC circuit has a total impedance of 95 Ω measured at resonance. Determine R?,95,Ω,ac_resonance,"In a resonant RLC circuit, the inductive reactance and capacitive reactance have equal magnitude and opposite effect. Their difference is zero, so the total impedance becomes Z = R. The measured resonant impedance is 95 Ω, so the resistance is R = 95 Ω. The measurement is already the resistive part of the circuit."
CH010,CH,The total impedance of a series RLC circuit at resonance is measured as 18 Ω. What is the value of R?,18,Ω,ac_resonance,"For a series RLC circuit, the impedance normally depends on resistance and net reactance. Under the resonance condition, XL - XC = 0. The impedance formula then reduces to Z = R. Because the measured impedance at resonance is 18 Ω, the resistance has the value R = 18 Ω. A small resonant impedance simply means the pure resistance is small."
