id,prefix,question,golden_code,answer,unit
CH010,CH,The total impedance of a series RLC circuit at resonance is measured as 18 Ω. What is the value of R?,"# Given value of impedance at resonance
Z_resonance = 18  # in Ohms

# Since Z = R at resonance
R = Z_resonance

final_result = R
print(f""The value of R is {final_result} Ω."")",18,Ω
CH025,CH,A pure inductor of 0.05 H is connected in series with a 200 μF capacitor. Determine the resonant frequency.,"import math

# Given values
L = 0.05  # Inductance in Henrys
C = 2e-4  # Capacitance in Farads (converted from μF)

# Calculate the resonant frequency
f = 1 / (2 * math.pi * math.sqrt(L * C))

final_result = f

print(final_result)",50.33,Hz
CH040,CH,A 0.4 H inductor is connected in series with a 20 μF capacitor. Determine the resonant frequency.,"import math

# Given values
L = 0.4  # Inductance in Henrys
C = 20e-6  # Capacitance in Farads

# Calculate the resonant frequency
f = 1 / (2 * math.pi * math.sqrt(L * C))

# Convert the result to Hertz and store it in a variable named 'final_result'
final_result = f",56.27,Hz
CH055,CH,"The RMS voltage is 180 V, and the resistance R = 90 Ω. What is the power of the circuit at resonance?","# Given values
V_rms = 180  # in Volts
R = 90       # in Ohms

# Calculate the power
P = (V_rms**2) / R

# The final result is the power of the circuit at resonance, in Watts
final_result = P",360,W
CH070,CH,"An RLC circuit needs to resonate at 150 Hz. If the capacitor C = 15 μF, what must L be?","import math

# Given values
f = 150  # resonant frequency in Hz
C = 15e-6  # capacitance in Farads

# Calculate the inductance L
L = 1 / (4 * math.pi**2 * f**2 * C)

# Convert the result to millihenries (mH)
final_result = L * 1000",74.96,mH
CH160,CH,"An effective voltage U = 120 V is applied to a series RLC circuit with R = 80 Ω, operating at resonance. Calculate the maximum effective current Imax.","# Given values
U = 120  # Effective voltage in Volts
R = 80   # Resistance in Ohms

# Calculate the maximum effective current
Imax = U / R

final_result = Imax
print(f""The maximum effective current is {final_result} A"")",1.5,A
CH175,CH,"An RMS voltage U = 300 V is applied to a series RLC circuit with R = 200 Ω, which is operating at resonance. Calculate the maximum power consumed (Pmax).","# Given values
U = 300  # RMS voltage in Volts
R = 200  # Resistance in Ohms

# Calculate the maximum power consumed
P_max = U**2 / R

# The final result is stored in this variable
final_result = P_max",450,W
CH348,CH,What is the resonant frequency of a circuit with L = 0.02 H and C = 150 µF?,"import math

# Given values
L = 0.02  # Inductance in Henrys
C = 150e-6  # Capacitance in Farads

# Calculate the resonant frequency
f = 1 / (2 * math.pi * math.sqrt(L * C))

# Convert the result to Hertz and store it in a variable named 'final_result'
final_result = f",91.89,Hz
CH362,CH,"At resonance, a 90 V source is connected to R = 15 Ω. Calculate the current I.","# Given values
V = 90  # voltage in volts
R = 15  # resistance in ohms

# Calculate the current using Ohm's Law
I = V / R

# The final result
final_result = I",6.00,A
CH376,CH,"U = 150 V, R = 50 Ω at resonance. Calculate P.","# Given values
U = 150  # voltage in Volts
R = 50   # resistance in Ohms

# Calculate power P
P = U**2 / R

# The final result is stored in the variable 'final_result'
final_result = P",450,W
CH085,CH,"A circuit needs to resonate at 1000 Hz. Given an inductor L=0.005 H, what capacitance C is needed?","import math

# Given values
f = 1000  # frequency in Hz
L = 0.005  # inductance in Henrys
pi_sq = 10  # pi^2 = 10 according to Vietnam physics convention

# Resonance formula: f = 1 / (2 * pi * sqrt(L * C))
# Squaring both sides: f**2 = 1 / (4 * pi_sq * L * C)
# Solve for C: C = 1 / (4 * pi_sq * L * f**2)

C_farad = 1 / (4 * pi_sq * L * f**2)

# Convert Farad to microFarad (μF)
C_microfarad = C_farad * 1e6

final_result = C_microfarad",5.07,μF
CH100,CH,An electrical circuit needs to resonate at f=50 Hz. The capacitor C=200 μF. What inductor L should be chosen?,"import math

# Given values
f = 50  # frequency in Hz
C = 200e-6  # capacitance in Farads
pi_sq = 10  # pi^2 = 10 according to Vietnam physics convention

# Resonance formula: f = 1 / (2 * pi * sqrt(L * C))
# Squaring both sides: f**2 = 1 / (4 * pi_sq * L * C)
# Solving for L: L = 1 / (4 * pi_sq * C * f**2)

L_henry = 1 / (4 * pi_sq * C * f**2)

final_result = L_henry",0.05,H
CH145,CH,"An RLC series circuit is connected to an AC power source with an RMS voltage U = 150 V. At resonance, the RMS voltages across the R-C combination and the C-L combination are equal, and both are 180 V. Calculate the RMS voltage across the capacitor C.","import math

# Given values
U_total = 150  # Total RMS voltage
U_RC = 180  # RMS voltage across RC combination

# Step 1: At resonance, inductive and capacitive reactances cancel out.
# Therefore, the total voltage U is completely dropped across the resistor R.
U_R = U_total

# Step 2: The voltage across the RC combination is the vector sum of U_R and U_C.
# U_RC = sqrt(U_R**2 + U_C**2)
# We need to find U_C.

# Step 3: Rearrange the formula to solve for U_C
# U_C**2 = U_RC**2 - U_R**2
U_C = math.sqrt(U_RC**2 - U_R**2)

final_result = U_C",99.5,V
